Section,Line,Closest Match,Score
Only in MAIN_list.txt,103. Steppenwolf - Born To Be Wild,blue oyster cult - (don't fear) the reaper,43
Only in MAIN_list.txt,4. M.O.O.N. - Hydrogen (Extended Cut),"john denver - take me home, country roads (original version)",43
Only in MAIN_list.txt,86. Gary Glitter - Rock And Roll Part II,linkin park - breaking the habit,44
Only in MAIN_list.txt,41. Hans Zimmer - Mountains/Tick-Tock & No Time for Caution,weeshing - hans zimmer - requiem for a dream,46
Only in MAIN_list.txt,47. Remember Me - Leslie Parrish,eddie murphy - party all the time,46
Only in MAIN_list.txt,"161. Bill Conti - Gonna Fly Now (Theme From ""Rocky"")",corona - the rhythm of the night,48
Only in MAIN_list.txt,18. Darren Styles & Re-Con - Quiver,milky chance - stolen dance,50
Only in MAIN_list.txt,106. Cher - Believe,adele - hello,52
Only in MAIN_list.txt,5. Cosmic Gate - Exploration Of Space (Original Mix),atomic horizon - halo theme song original,55
Only in MAIN_list.txt,42. ERA - Ameno,deccarecords - era - ameno,58
Only in MAIN_list.txt,107. Fox Stevenson - Dreamland,fox stevenson - knowhow,59
Only in MAIN_list.txt,169. OwlCityOfficial - Fireflies,owl city - fireflies,60
Only in MAIN_list.txt,176. Liquicity Records - Polygon - One Day,polygon - polygon - one day,61
Only in MAIN_list.txt,82. Ennio Morricone - The Ecstasy of Gold,ennio morricone featuring edda dell'orso - the ecstasy of gold (feat. edda dell'orso),61
Only in MAIN_list.txt,57. Black Eyed Peas - Boom Boom Pow,the black eyed peas - boom boom pow (the best of the e.n.d. version),63
Only in MAIN_list.txt,119. Black Eyed Peas - I Gotta Feeling,the black eyed peas - i gotta feeling (the best of the e.n.d. version),65
Only in MAIN_list.txt,171. Stardust - Stardust - Music Sounds Better With You,"stardust, benjamin diamond, alan braxe - music sounds better with you",67
Only in MAIN_list.txt,33. Liquicity Records - Edlan - Dreamcatcher (Ft. Ella),edlan - edlan - dreamcatcher (ft. ella),68
Only in MAIN_list.txt,8. Bassrush - REAPER - MAKE A MOVE,reaper - reaper - make a move,69
Only in MAIN_list.txt,117. DENZELCURRYPH - Ultimate,denzel curry - ultimate,70
Only in MAIN_list.txt,11. LSB - Potshot (Full),mitch manson - lsb - potshot (full),71
Only in MAIN_list.txt,60. 21 Savage - Slidin,"21 savage, metro boomin - slidin",71
Only in MAIN_list.txt,79. Monstercat - Saint Punk - Empty Bed,saint punk - saint punk - empty bed,71
Only in MAIN_list.txt,141. deadman 死人 - Shibayan Records - Tiny Little Adiantum (deadman 死人 Remix) [Omae Wa Mou],shibayanrecords - shibayanrecords - tiny little adiantum (deadman 死人 remix) [omae wa mou],73
Only in MAIN_list.txt,95. Déjà Vu - Dave Rodgers,dave rodgers - déjà vu - dave rodgers,73
Only in MAIN_list.txt,14. Pilot. - Fox Stevenson - Bruises,fox stevenson - fox stevenson - bruises,74
Only in MAIN_list.txt,145. playboicarti - Magnolia,playboi carti - magnolia,74
Only in MAIN_list.txt,25. Darude - Sandstorm,darude - sandstorm (radio edit),74
Only in NEW_list.txt,172. Edgar Aquinde Navarrete - 06. Mr. Groove - Night & Day,21 savage - brand new draco,39
Only in NEW_list.txt,173. Jacob Tillberg - Jacob Tillberg - Caffeine Rush,gorillaz - feel good inc.,40
Only in NEW_list.txt,99. wainer verz - Cher - Believe - Official - Music - Video,aviciiofficial - levels (original version),43
Only in NEW_list.txt,176. Muzzy - Muzzy - Feeling Stronger (feat. Charlotte Colley) (High Maintenance Remix),tiësto - in my mind (axwell mix) - ivan gough & feenixpawl ft. georgi kay,44
Only in NEW_list.txt,180. Dancecode Electronics - N'to - La Clé Des Champs,m.o.o.n. - hydrogen (extended cut),44
Only in NEW_list.txt,179. Murdock - Murdock - Waterfalls,mura masa - lovesick (wateva - remix),46
Only in NEW_list.txt,174. Unlike Pluto - Unlike Pluto - Everything Black (feat. Mike Taylor),black eyed peas - let's get it started (spike mix),48
Only in NEW_list.txt,177. FlaysMatic - Monrroe Ft. Zara Kershaw - Out Of Time,daft punk - one more time,49
Only in NEW_list.txt,175. Maduk - Maduk - Everytime (ft. Calixte),cascada - everytime we touch (radio edit),55
Only in NEW_list.txt,178. Maduk - Maduk - Fire Away,maduk - maduk - pokemon remix (free download),57
Only in NEW_list.txt,38. DeccaRecords - ERA - Ameno,era - ameno,58
Only in NEW_list.txt,160. Owl City - Fireflies,owlcityofficial - fireflies,60
Only in NEW_list.txt,77. Ennio Morricone featuring Edda Dell'Orso - The Ecstasy of Gold (feat. Edda Dell'Orso),ennio morricone - the ecstasy of gold,61
Only in NEW_list.txt,52. The Black Eyed Peas - Boom Boom Pow (The Best Of The E.N.D. Version),black eyed peas - boom boom pow,63
Only in NEW_list.txt,111. The Black Eyed Peas - I Gotta Feeling (The Best Of The E.N.D. Version),black eyed peas - i gotta feeling,65
Only in NEW_list.txt,"162. Stardust, Benjamin Diamond, Alan Braxe - Music Sounds Better With You",stardust - stardust - music sounds better with you,67
Only in NEW_list.txt,30. Edlan - Edlan - Dreamcatcher (Ft. Ella),liquicity records - edlan - dreamcatcher (ft. ella),68
Only in NEW_list.txt,167. Polygon - Polygon - One Day,polygon - polygon - contradiction,69
Only in NEW_list.txt,6. REAPER - REAPER - MAKE A MOVE,bassrush - reaper - make a move,69
Only in NEW_list.txt,109. Denzel Curry - Ultimate,denzelcurryph - ultimate,70
Only in NEW_list.txt,"55. 21 Savage, Metro Boomin - Slidin",21 savage - slidin,71
Only in NEW_list.txt,74. Saint Punk - Saint Punk - Empty Bed,monstercat - saint punk - empty bed,71
Only in NEW_list.txt,9. Mitch Manson - LSB - Potshot (Full),lsb - potshot (full),71
Only in NEW_list.txt,133. ShibayanRecords - ShibayanRecords - Tiny Little Adiantum (deadman 死人 Remix) [Omae Wa Mou],deadman 死人 - shibayan records - tiny little adiantum (deadman 死人 remix) [omae wa mou],73
Only in NEW_list.txt,89. Dave Rodgers - Déjà Vu - Dave Rodgers,déjà vu - dave rodgers,73
Only in NEW_list.txt,12. Fox Stevenson - Fox Stevenson - Bruises,fox stevenson - fox stevenson - take you down,74
Only in NEW_list.txt,137. Playboi Carti - Magnolia,playboicarti - magnolia,74
Only in NEW_list.txt,22. Darude - Sandstorm (Radio Edit),darude - sandstorm,74
